类型,代码,名称,价格,涨跌%,成交量,相对量,RSI,SAR,EMA20,50日均线,信号,AI点评
信号,0326,SORENTO,0.67,2.29,808200,2.13,58.41,多头,0.651,0.645,🎯 EMA20多头 + SAR多头 + T3形态突破,现价0.67高于50日均线0.645，EMA20与SAR均呈多头，T3形态突破；RSI 58.41处中性偏强，未超买，信号技术面较可靠。
表格,0138,ZETRIX,0.19,2.7,425202300,0.72,22.62,空头,0.294,0.512,,
表格,0041,AIMAX,0.01,0.0,166867800,,,—,,,,
表格,5216,NEXG,0.32,20.75,64617400,4.71,65.18,多头,0.277,0.274,,
表格,6963,VS,0.235,-6.0,44353800,2.31,53.3,多头,0.231,0.232,,
表格,5555,SUNMED,2.07,-2.82,43462600,3.05,44.64,空头,2.135,2.055,,
表格,0095,MAG,0.155,0.0,39920400,2.09,44.71,多头,0.156,0.16,,
表格,5323,JPG,1.91,1.6,31355600,5.68,46.98,空头,1.925,1.973,,
表格,7192,GIIB,0.595,0.85,30895100,1.34,76.81,多头,0.539,0.489,,
表格,5238,AAGB,0.525,-3.67,30647900,0.78,25.96,空头,0.657,0.875,,
表格,4456,DNEX,0.48,1.05,30412600,1.24,54.94,多头,0.467,0.47,,
表格,8044,CFM,0.085,-5.56,29365000,54.61,67.5,多头,0.074,0.072,,
表格,9377,FSBM,0.11,-8.33,29009400,1.11,36.66,空头,0.141,0.165,,
表格,0340,NORTHERN,1.18,15.69,26309700,8.19,94.29,多头,0.79,0.709,,
表格,7106,SUPERMX,0.415,5.06,26299800,1.16,63.43,空头,0.376,0.314,,
表格,0175,HHRG,0.16,-3.03,26223300,0.64,51.62,多头,0.16,0.148,,
表格,4723,JAKS,0.165,0.0,24635800,0.53,71.51,多头,0.139,0.113,,
表格,5243,VELESTO,0.23,0.0,23042000,1.17,37.55,空头,0.243,0.25,,
表格,7113,TOPGLOV,0.78,1.3,22909100,0.54,63.44,多头,0.735,0.679,,
表格,7114,DNONCE,0.035,0.0,22552900,8.95,48.03,空头,0.036,0.034,,
表格,5078,M&G,0.315,1.61,22408300,1.19,66.43,多头,0.303,0.29,,
表格,7215,NIHSIN,0.4,1.27,19537000,0.4,85.85,多头,0.305,0.171,,
表格,7121,XL,0.795,-2.45,19041500,1.52,42.36,多头,0.81,0.809,,
表格,0468,UNIPAC,0.27,14.89,18928200,1.1,,空头,,,,
表格,3174,L&G,0.23,2.22,18247100,0.9,85.45,多头,0.198,0.182,,
表格,5398,GAMUDA,4.84,1.26,17700800,0.98,62.38,空头,4.711,4.482,,
表格,1023,CIMB,7.96,0.38,17570300,1.31,61.9,多头,7.774,7.716,,
表格,4677,YTL,2.34,-3.7,17216500,0.88,50.98,多头,2.343,2.224,,
表格,8052,CGB,0.87,0.58,17130000,0.96,50.86,空头,0.869,0.871,,
表格,5249,IOIPG,3.5,0.57,16985300,4.48,37.21,空头,3.642,3.711,,
表格,0353,WESTRVR,0.41,10.81,16746200,22.33,73.71,多头,0.364,0.333,,
表格,0270,NATGATE,1.79,-2.19,16664400,0.49,61.15,多头,1.713,1.493,,
表格,1961,IOICORP,4.78,0.0,16567400,2.04,56.74,空头,4.743,4.578,,
表格,5184,CYPARK,0.77,-3.14,16335100,2.16,64.8,多头,0.69,0.681,,
表格,3336,IJM,2.93,0.69,15582300,1.23,64.85,多头,2.826,2.687,,
表格,5151,HEXTAR,0.77,-0.65,15107100,1.26,47.7,多头,0.774,0.774,,
表格,1295,PBBANK,4.82,-0.21,14910200,0.68,42.95,空头,4.857,4.973,,
表格,0163,CAREPLS,0.085,0.0,14475700,1.79,60.57,空头,0.081,0.076,,
表格,0208,GREATEC,2.56,-2.29,14302300,2.25,49.74,多头,2.565,2.528,,
表格,7204,D&O,0.525,-2.78,13572300,0.9,66.87,多头,0.458,0.393,,
表格,0248,YEWLEE,0.595,-0.83,13443900,1.41,41.98,空头,0.608,0.602,,
表格,2429,TANCO,0.165,0.0,13377400,0.46,34.18,空头,0.185,0.228,,
表格,0318,ELRIDGE,0.925,3.35,12925300,3.64,74.42,多头,0.87,0.849,,
表格,0182,LKL,0.04,14.29,11505000,109.29,63.02,多头,0.034,0.034,,
表格,0034,MMAG,0.025,0.0,11278700,5.04,49.97,空头,0.025,0.027,,
表格,0452,GOLDLI,0.095,11.76,11085200,26.67,63.2,空头,0.086,0.088,,
表格,0007,PUC,0.035,0.0,11037400,1.42,56.29,多头,0.032,0.033,,
表格,6742,YTLPOWR,5.8,-1.86,10676600,0.66,60.68,多头,5.651,5.067,,
表格,0219,RL,0.31,-1.59,10573500,1.42,61.27,多头,0.306,0.293,,
表格,7010,PTT,1.5,-0.66,10528400,57.68,62.73,空头,1.447,1.434,,
表格,5311,CEB,0.295,0.0,10366300,1.76,68.43,多头,0.271,0.268,,
表格,0262,SUNVIEW,0.38,2.7,10138700,1.14,59.86,多头,0.371,0.37,,
表格,5102,GCB,1.39,-3.47,10027200,0.77,54.06,多头,1.387,1.284,,
表格,1066,RHBBANK,7.83,-0.38,9991000,0.89,34.99,多头,8.012,8.282,,
表格,0453,EIPOWER,1.07,4.9,9902200,1.25,84.42,多头,0.858,0.745,,
表格,5285,SDG,6.25,-0.64,9693500,0.55,42.58,多头,6.326,6.513,,
表格,5301,CTOS,0.605,-2.42,9411800,1.98,36.17,空头,0.644,0.659,,
表格,4324,HENGYUAN,4.54,1.57,9319100,0.79,86.17,多头,3.333,2.232,,
表格,0296,HEGROUP,1.08,2.86,9283100,2.16,82.63,多头,0.944,0.779,,
表格,0225,SCGBHD,2.59,-3.0,9084200,1.49,52.44,空头,2.581,2.474,,
表格,0024,JAG,0.375,2.74,8837700,1.56,56.64,多头,0.367,0.366,,
表格,0181,AEMULUS,0.415,-4.6,8731000,1.43,55.46,多头,0.397,0.397,,
表格,5878,KPJ,2.67,-0.74,8653500,0.74,45.0,多头,2.68,2.893,,
表格,5212,PAVREIT,1.55,-1.27,8627500,4.03,39.11,多头,1.59,1.654,,
表格,5168,HARTA,1.14,1.79,8154300,0.72,62.25,多头,1.083,1.02,,
