类型,代码,名称,价格,涨跌%,成交量,相对量,RSI,SAR,EMA20,50日均线,信号,AI点评
信号,AME,"AMETEK, Inc.",250.74,1.21,1400100,0.96,63.36,多头,241.114,242.286,🎯 EMA20多头 + SAR多头 + T3形态突破,现价250.74高于50日均线242.29，EMA20与SAR均呈多头，T3形态突破；RSI 63.36偏强但未超买，信号技术面较可靠。
信号,BE,Bloom Energy Corporation,288.7,8.27,17334300,1.06,62.8,多头,259.731,229.675,🎯 EMA20多头 + SAR多头 + T3形态突破,现价288.7高于50日均线229.675约25.7%，RSI 62.8未超买，EMA20与SAR多头信号一致，技术面信号可靠性较高。
信号,CAT,"Caterpillar, Inc.",821.58,2.03,1978200,0.82,52.25,多头,810.318,829.201,🎯 EMA20多头 + SAR多头 + T3形态突破,CAT现价821.58略低于50日均线829.20，RSI 52.25处中性区间，未超买。EMA20与SAR多头叠加T3突破，信号偏多但受均线压制，可靠性中等。
信号,CTAS,Cintas Corporation,199.91,1.13,2487300,1.24,51.22,多头,199.048,202.057,🎯 EMA20多头 + SAR多头 + T3形态突破,CTAS现价199.91略低于50日均线202.06，RSI 51.22处中性区间，无超买。EMA20与SAR多头叠加T3突破，信号偏多但受均线压制，可靠性中等。
信号,DAL,"Delta Air Lines, Inc.",84.94,2.63,7067200,1.04,58.58,多头,81.551,84.049,🎯 EMA20多头 + SAR多头 + T3形态突破,DAL现价84.94高于50日均线84.05，EMA20与SAR均呈多头，T3形态突破；RSI 58.58处中性偏强区间，未超买，信号技术面可靠性尚可。
信号,EMBJ,Embraer S.A.,78.63,2.92,1465100,1.23,66.97,多头,75.067,72.588,🎯 EMA20多头 + SAR多头 + T3形态突破,现价78.63高于50日均线72.59，EMA20与SAR均呈多头，T3形态突破；RSI 66.97接近超买区，信号偏强但需留意短线过热。
信号,GE,GE Aerospace,327.09,2.29,4287300,1.01,47.33,多头,326.229,344.738,🎯 EMA20多头 + SAR多头 + T3形态突破,GE现价327.09低于50日均线344.74，均线仍构成上方压力；RSI 47.33处中性区间，未超买。EMA20与SAR多头及T3突破信号偏多，但需站上50日线确认。
信号,HMC,"Honda Motor Company, Ltd.",32.93,2.3,871400,1.05,59.67,多头,32.168,31.28,🎯 EMA20多头 + SAR多头 + T3形态突破,HMC现价32.93美元，高于50日均线31.28，RSI 59.67未超买，EMA20与SAR多头信号一致，技术面可靠性较高。
信号,LRCX,Lam Research Corporation,315.21,2.62,8138100,0.88,56.31,多头,300.063,304.28,🎯 EMA20多头 + SAR多头 + T3形态突破,现价315.21高于50日均线304.28，EMA20与SAR均呈多头，T3形态突破；RSI 56.31处中性偏强区间，未超买，信号技术面可靠性尚可。
信号,LSCC,Lattice Semiconductor Corporati,128.05,4.77,1455000,0.9,61.51,多头,117.646,121.439,🎯 EMA20多头 + SAR多头 + T3形态突破,现价128.05高于50日均线121.44，EMA20与SAR均呈多头，T3形态突破；RSI 61.51处中性偏强区间，未达超买，信号技术面一致性较好。
信号,NXPI,NXP Semiconductors N.V.,238.08,3.44,2929000,0.81,55.67,多头,230.083,235.147,🎯 EMA20多头 + SAR多头 + T3形态突破,现价238.08高于50日均线235.15，EMA20与SAR均呈多头，T3形态突破；RSI 55.67处中性偏强区间，未超买，信号技术面可靠性尚可。
