类型,代码,名称,价格,涨跌%,成交量,相对量,RSI,SAR,EMA20,50日均线,信号,AI点评
信号,0045,SSB8,0.66,7.32,10285000,2.95,64.07,多头,0.617,0.579,🎯 当前价格 > EMA(20) + 当前价格 > SAR + T3 形态突破,现价0.66高于50日均线0.579，RSI 64.07接近超买区，EMA与SAR同向偏多，T3突破信号技术面一致性尚可。
信号,0369,JSSOLAR,0.25,11.11,8860700,14.93,71.13,多头,0.207,0.197,🎯 当前价格 > EMA(20) + 当前价格 > SAR + T3 形态突破,现价0.25高于50日均线0.197，且站上EMA20与SAR，T3突破偏多；但RSI达71.13，已进入超买区，信号可靠性需谨慎看待。
信号,0372,CHEEDING,0.6,5.26,3461500,1.26,50.75,多头,0.593,0.611,🎯 当前价格 > EMA(20) + 当前价格 > SAR + T3 形态突破,现价0.60低于50日均线0.611，RSI 50.75处中性区间，无超买；价格站上EMA20且SAR转多，T3突破信号偏弱，可靠性一般。
信号,0373,VERDANT,0.26,8.33,11636100,10.13,79.67,多头,0.219,0.207,🎯 当前价格 > EMA(20) + 当前价格 > SAR + T3 形态突破,现价0.26高于50日均线0.207，且站上EMA20与SAR，T3突破偏多；但RSI达79.67，已进入超买区，信号可靠性受高位制约。
信号,0455,BUSCAP,0.55,5.77,3286800,1.91,63.26,多头,0.493,0.395,🎯 当前价格 > EMA(20) + 当前价格 > SAR + T3 形态突破,现价0.55高于50日均线0.395，RSI 63.26未超买，配合EMA20与SAR多头信号，技术面偏强。
信号,5184,CYPARK,0.82,6.49,37327900,4.62,70.17,多头,0.703,0.684,🎯 当前价格 > EMA(20) + 当前价格 > SAR + T3 形态突破,现价0.82高于50日均线0.684，且站上EMA20与SAR，T3突破形态成立；但RSI达70.17，已进入超买区，信号可靠性需留意短线过热风险。
表格,0041,AIMAX,0.005,0.0,906454100,,,—,,,,
表格,0138,ZETRIX,0.19,0.0,94950300,0.16,22.61,空头,0.284,0.502,,
表格,5243,VELESTO,0.22,-4.35,67728900,3.41,32.28,空头,0.241,0.25,,
表格,7113,TOPGLOV,0.755,-3.21,39996200,0.94,56.84,多头,0.737,0.681,,
表格,0270,NATGATE,1.87,4.47,34693600,1.33,66.0,多头,1.728,1.511,,
表格,7079,TWL,0.025,0.0,33018800,1.77,51.85,多头,0.025,0.024,,
表格,5398,GAMUDA,4.88,0.83,31258300,1.71,64.34,空头,4.727,4.496,,
表格,7215,NIHSIN,0.38,-5.0,29898900,0.64,76.97,多头,0.312,0.177,,
表格,3336,IJM,3.03,3.41,29755500,2.37,71.33,多头,2.846,2.702,,
表格,7192,GIIB,0.585,-1.68,29693700,1.27,71.34,多头,0.543,0.491,,
表格,0095,MAG,0.155,0.0,28515700,1.38,44.71,多头,0.156,0.16,,
表格,4723,JAKS,0.17,3.03,28206900,0.6,73.31,多头,0.142,0.114,,
表格,5216,NEXG,0.32,0.0,27395700,1.68,65.18,多头,0.281,0.276,,
表格,0175,HHRG,0.15,-6.25,26335500,0.64,47.65,多头,0.159,0.148,,
表格,5099,CAPITALA,0.245,-2.0,26303600,0.96,31.96,多头,0.279,0.33,,
表格,0345,SUNLOGY,0.47,6.82,24788800,3.19,58.57,空头,0.446,0.403,,
表格,0340,NORTHERN,1.28,8.47,21362400,4.79,95.29,多头,0.836,0.721,,
表格,4456,DNEX,0.475,-1.04,21005100,0.84,52.83,多头,0.468,0.47,,
表格,0262,SUNVIEW,0.38,0.0,20474600,2.27,59.86,多头,0.372,0.371,,
表格,7315,AHB,0.055,0.0,20422400,2.32,56.29,多头,0.053,0.043,,
表格,5078,M&G,0.31,-1.59,19746400,1.04,59.8,多头,0.303,0.29,,
表格,0225,SCGBHD,2.88,11.2,19159400,2.99,67.46,多头,2.609,2.485,,
表格,8052,CGB,0.86,-1.15,18610300,1.04,41.83,多头,0.868,0.871,,
表格,3174,L&G,0.22,-4.35,18388700,0.91,71.25,多头,0.2,0.183,,
表格,5555,SUNMED,2.09,0.97,18385700,1.15,47.0,空头,2.131,2.059,,
表格,5238,AAGB,0.53,0.95,17063100,0.44,26.92,空头,0.645,0.863,,
表格,7106,SUPERMX,0.42,1.2,16720800,0.71,64.36,空头,0.38,0.318,,
表格,6963,VS,0.235,0.0,16485900,0.88,53.3,多头,0.231,0.232,,
表格,5264,MALAKOF,0.805,0.63,16426000,4.87,49.91,多头,0.804,0.806,,
表格,7121,XL,0.81,1.89,15116900,1.16,50.2,空头,0.81,0.809,,
表格,6742,YTLPOWR,5.89,1.55,14858100,1.0,63.42,多头,5.674,5.1,,
表格,0145,TFP,0.065,8.33,14521600,4.81,48.17,空头,0.065,0.074,,
表格,5151,HEXTAR,0.775,0.65,14276200,1.18,50.16,多头,0.774,0.774,,
表格,5323,JPG,1.8,-5.76,14074700,2.11,35.55,空头,1.913,1.969,,
表格,0318,ELRIDGE,0.95,2.7,13807300,3.91,78.73,多头,0.878,0.85,,
表格,5218,VANTNRG,0.35,4.48,13658000,3.99,62.98,多头,0.338,0.332,,
表格,0310,UUE,0.75,-0.66,13261000,2.56,67.9,多头,0.677,0.607,,
表格,5102,GCB,1.32,-5.04,13112900,1.12,44.52,空头,1.38,1.287,,
表格,4677,YTL,2.39,2.14,12998100,0.73,54.48,多头,2.348,2.232,,
表格,2429,TANCO,0.165,0.0,12466000,0.44,34.16,空头,0.183,0.224,,
表格,8664,SPSETIA,0.78,3.31,12439500,3.44,40.53,空头,0.8,0.853,,
表格,9113,ICONIC,0.095,5.56,12331800,2.15,79.43,多头,0.078,0.067,,
表格,0453,EIPOWER,1.06,-0.93,12302200,1.52,82.09,多头,0.877,0.752,,
表格,4197,SIME,2.47,0.41,11833400,0.72,58.91,多头,2.433,2.266,,
表格,0186,PTRANS,0.19,0.0,11477400,1.39,44.21,空头,0.197,0.196,,
表格,0116,FOCUS,0.005,0.0,11329300,1.07,47.48,空头,0.006,0.006,,
表格,7277,DIALOG,1.95,-1.52,10434800,1.52,45.48,多头,1.986,1.976,,
表格,7204,D&O,0.535,1.9,10323000,0.7,68.18,多头,0.466,0.397,,
表格,9008,OMESTI,0.07,-12.5,10320700,1.98,36.98,空头,0.078,0.077,,
表格,1961,IOICORP,4.76,-0.42,9819800,1.18,54.73,空头,4.745,4.584,,
表格,0468,UNIPAC,0.255,-5.56,9738400,0.56,,空头,,,,
表格,0248,YEWLEE,0.605,1.68,9471200,0.97,48.06,多头,0.608,0.603,,
表格,1295,PBBANK,4.8,-0.41,9095700,0.43,40.8,空头,4.851,4.967,,
表格,0167,MCLEAN,0.78,0.65,9088500,3.44,57.08,多头,0.755,0.74,,
表格,0380,AQUAWALK,0.14,0.0,9051900,2.82,38.65,空头,0.147,0.153,,
表格,0339,CBHB,1.1,0.92,8863700,0.72,79.32,多头,0.996,0.837,,
表格,6998,BINTAI,0.07,0.0,8540000,4.41,47.23,多头,0.07,0.071,,
表格,0050,SYSTECH,0.18,16.13,8506600,1.71,63.41,多头,0.161,0.165,,
表格,5161,JCY,0.545,2.83,8451400,0.61,58.15,空头,0.52,0.473,,
表格,5199,HIBISCS,2.23,-3.04,8307700,1.16,52.43,空头,2.223,2.1,,
表格,0367,ENPRO,0.325,-1.52,8186100,0.91,90.43,多头,0.261,0.218,,
表格,0215,SLVEST,4.06,4.1,7951900,1.79,78.22,多头,3.48,3.203,,
表格,0166,INARI,2.66,1.92,7628300,0.38,58.31,多头,2.591,2.433,,
表格,0065,EFORCE,0.23,4.55,7560300,0.51,66.81,多头,0.197,0.171,,
表格,5168,HARTA,1.1,-3.51,7456900,0.65,54.83,多头,1.084,1.023,,
表格,5352,MTTSL,1.16,0.0,7434000,1.07,47.72,多头,1.182,1.135,,
表格,0338,KOPI,0.9,1.12,7389600,2.44,35.53,空头,0.928,0.969,,
表格,0223,SAMAIDEN,2.86,6.32,7329400,3.24,89.18,多头,2.113,1.739,,
表格,0321,SDCG,0.785,0.64,7277600,1.28,86.31,多头,0.766,0.751,,
表格,7080,PERMAJU,0.01,0.0,7209300,78.24,58.65,空头,0.007,0.008,,
表格,6888,AXIATA,1.63,-2.4,7202300,1.14,30.24,空头,1.74,1.855,,
表格,5148,UEMS,0.545,1.87,7131600,1.05,39.08,空头,0.563,0.592,,
表格,0183,SALUTE,0.115,0.0,7024200,0.56,48.46,空头,0.119,0.106,,
表格,5311,CEB,0.29,-1.69,6973800,1.15,63.81,多头,0.273,0.269,,
表格,5356,STRATUS,2.96,-0.34,6719400,2.13,56.05,多头,2.857,,,
表格,0024,JAG,0.37,-1.33,6554300,1.12,52.41,多头,0.367,0.366,,
表格,5301,CTOS,0.61,0.83,6510000,1.3,38.16,空头,0.641,0.658,,
表格,5259,AVANGAAD,0.29,-1.69,6474800,4.2,31.28,空头,0.295,0.297,,
表格,0296,HEGROUP,1.12,3.7,6464300,1.39,84.91,多头,0.961,0.79,,
表格,0236,RAMSSOL,0.765,-0.65,6443400,1.03,46.15,空头,0.774,0.773,,
表格,5183,PCHEM,4.49,-1.97,6418400,0.85,47.1,空头,4.599,4.54,,
表格,5219,PESTEC,0.055,0.0,6318100,1.45,39.3,多头,0.057,0.06,,
表格,8893,MKLAND,0.175,9.37,6313200,8.1,79.93,多头,0.149,0.145,,
表格,0233,PEKAT,2.82,6.82,6298900,3.33,88.84,多头,2.187,1.93,,
表格,8869,PMETAL,7.46,0.0,6268000,0.86,36.95,空头,7.708,7.853,,
表格,7225,PA,0.22,2.33,6254900,1.02,54.39,多头,0.214,0.211,,
表格,0251,SFPTECH,0.26,0.0,6180200,0.52,39.54,多头,0.274,0.316,,
表格,5249,IOIPG,3.49,-0.29,6126900,1.35,36.66,空头,3.627,3.708,,
表格,0178,SEDANIA,0.1,0.0,6123100,1.35,47.7,空头,0.102,0.096,,
表格,7223,JADI,0.03,20.0,6000000,30.0,48.54,空头,0.03,0.034,,
表格,5285,SDG,6.24,-0.16,5968700,0.34,41.98,多头,6.318,6.506,,
表格,0452,GOLDLI,0.095,0.0,5876700,6.11,63.2,多头,0.087,0.088,,
表格,5347,TENAGA,13.14,0.61,5767700,0.6,30.03,多头,13.498,14.081,,
表格,8044,CFM,0.085,0.0,5704000,2.85,67.5,多头,0.075,0.072,,
表格,6947,CDB,2.57,-1.15,5630600,1.77,30.98,空头,2.679,2.795,,
表格,5212,PAVREIT,1.56,0.65,5614200,2.2,41.51,多头,1.587,1.65,,
表格,4324,HENGYUAN,4.35,-4.19,5580200,0.47,78.81,多头,3.43,2.293,,
表格,0275,OPPSTAR,0.695,2.96,5519800,0.53,53.42,多头,0.678,0.66,,
表格,0470,BFIELD,0.48,0.0,5465000,0.23,,多头,,,,
表格,7153,KOSSAN,1.2,-2.44,5453300,0.58,58.08,多头,1.164,1.098,,
表格,5172,SINARAN,0.105,0.0,5409700,2.42,51.1,多头,0.104,0.102,,
表格,0209,AIMFLEX,0.115,0.0,5320600,0.55,41.81,空头,0.123,0.122,,
表格,1023,CIMB,7.9,-0.75,5245700,0.39,57.81,多头,7.786,7.724,,
表格,5141,DAYANG,1.5,2.04,5094400,2.03,52.87,多头,1.477,1.536,,
表格,0193,KINERGY,0.42,1.2,5066900,0.46,62.57,多头,0.408,0.409,,
表格,1155,MAYBANK,10.22,0.99,4990400,0.29,50.98,多头,10.177,10.335,,
表格,5296,MRDIY,1.29,-0.77,4912700,0.4,33.75,多头,1.332,1.452,,
表格,0363,PMCK,0.195,2.63,4850800,11.17,44.73,空头,0.198,0.2,,
表格,0469,GTA,0.29,3.57,4691000,0.21,,空头,,,,
表格,0457,PENTECH,0.325,0.0,4688000,0.56,50.52,多头,0.33,0.31,,
表格,0273,VLB,0.98,7.1,4473500,1.56,67.97,多头,0.891,0.802,,
表格,8583,MAHSING,1.02,2.0,4472100,0.9,38.46,空头,1.055,1.073,,
表格,5878,KPJ,2.67,0.0,4405600,0.46,45.0,多头,2.679,2.884,,
表格,5327,MEGAFB,2.7,-0.74,4361300,0.76,82.33,空头,2.436,2.097,,
表格,0217,PWRWELL,1.2,1.69,4272100,1.22,71.41,多头,1.1,0.999,,
表格,0390,ISF,0.845,0.0,4260100,1.51,65.62,多头,0.797,0.714,,
表格,5288,SIMEPROP,1.28,1.59,4150400,0.78,44.51,空头,1.292,1.324,,
表格,0104,GENETEC,0.32,3.23,4123800,0.62,47.42,多头,0.321,0.339,,
表格,0181,AEMULUS,0.425,2.41,4118500,0.7,57.85,多头,0.4,0.399,,
表格,0471,PIONEER,0.285,-3.39,4029500,0.21,,多头,,,,
表格,4243,WTK,0.98,-2.97,3988400,1.64,38.36,空头,1.054,1.011,,
表格,1651,MRCB,0.29,0.0,3985400,0.51,39.09,多头,0.299,0.312,,
表格,5271,PECCA,1.39,0.72,3910600,2.07,68.28,多头,1.351,1.323,,
表格,0358,ICTZONE,0.26,-1.89,3908400,1.24,50.51,空头,0.262,0.25,,
表格,6633,LHI,0.715,-1.38,3903800,2.44,38.09,空头,0.737,0.753,,
表格,7161,KERJAYA,3.63,6.45,3894700,1.27,76.5,多头,3.281,2.861,,
表格,0292,JTGROUP,1.24,7.83,3892000,1.51,83.1,多头,1.023,0.876,,
表格,0219,RL,0.31,0.0,3852400,0.51,61.25,多头,0.307,0.294,,
表格,0083,NOTION,0.66,2.33,3817500,0.4,59.78,多头,0.63,0.571,,
表格,8907,EG,1.78,1.71,3806300,0.61,50.3,多头,1.772,1.808,,
表格,5246,WPRTS,6.69,-0.45,3792700,0.89,41.9,空头,6.785,6.79,,
表格,0111,K1,0.16,6.67,3783100,1.56,63.84,多头,0.146,0.138,,
表格,0208,GREATEC,2.62,2.34,3729800,0.57,55.93,多头,2.57,2.532,,
表格,0172,OCK,0.49,0.0,3700200,1.15,74.59,多头,0.443,0.402,,
表格,5180,CLMT,0.58,-0.85,3683600,0.96,43.05,空头,0.588,0.587,,
表格,9377,FSBM,0.105,-4.55,3642200,0.14,35.42,空头,0.137,0.164,,
表格,7117,CJCEN,0.185,5.71,3616700,13.77,74.75,多头,0.169,0.162,,
