类型,代码,名称,价格,涨跌%,成交量,相对量,RSI,SAR,EMA20,50日均线,信号,AI点评
信号,BIO,"Bio-Rad Laboratories, Inc.",383.8,1.3,139686,0.54,61.33,多头,376.104,355.704,🎯 EMA20多头 + SAR多头 + T3形态突破,BIO现价383.8高于50日均线355.7，EMA20与SAR均呈多头，T3形态突破；RSI 61.33处中性偏强区间，未达超买。
信号,ICLR,ICON plc,170.36,3.94,629159,0.73,53.45,多头,167.329,167.308,🎯 EMA20多头 + SAR多头 + T3形态突破,ICLR现价170.36高于50日均线167.31，EMA20与SAR均呈多头，T3形态突破；RSI 53.45处中性区间，未超买，信号技术面可靠性尚可。
信号,INTC,Intel Corporation,125.785,2.6,76642815,0.74,72.15,多头,107.275,98.5,🎯 EMA20多头 + SAR多头 + T3形态突破,现价125.79远高于50日均线98.5，EMA20与SAR均呈多头，但RSI达72.15已入超买区，信号可靠性偏中性。
信号,NBIS,Nebius Group N.V.,246.63,8.83,17252096,1.17,59.26,多头,224.596,214.327,🎯 EMA20多头 + SAR多头 + T3形态突破,现价246.63高于50日均线214.33，EMA20与SAR均呈多头，T3形态突破；RSI 59.26处中性偏强区间，未超买，信号技术面一致性较好。
信号,P,"Everpure, Inc.",127.35,16.14,7466195,1.08,71.04,多头,103.601,94.179,🎯 EMA20多头 + SAR多头 + T3形态突破,现价127.35远高于50日均线94.18，EMA20与SAR均呈多头，T3形态突破有效；但RSI达71.04，已进入超买区，信号可靠性偏高但需留意短线过热。
信号,RVTY,"Revvity, Inc.",146.525,3.11,727980,0.36,70.34,多头,134.377,122.174,🎯 EMA20多头 + SAR多头 + T3形态突破,现价146.53高于50日均线122.17约20%，RSI 70.34接近超买区，EMA20与SAR多头信号一致，但短线偏热。
信号,SAIL,"SailPoint, Inc.",21.925,2.41,2851429,0.55,66.01,多头,19.77,18.23,🎯 EMA20多头 + SAR多头 + T3形态突破,现价21.93高于50日均线18.23，多头排列明显；RSI 66.01接近超买区但未破70，EMA20与SAR多头信号一致，T3突破可靠性中等偏强。
信号,TWST,Twist Bioscience Corporation,176.335,11.25,1968692,1.12,71.98,多头,144.833,122.851,🎯 EMA20多头 + SAR多头 + T3形态突破,TWST现价176.34远高于50日均线122.85，EMA20与SAR均呈多头，T3形态突破；但RSI达71.98，已进入超买区，信号可靠性需留意高位风险。
信号,WELL,Welltower Inc.,234.82,2.15,991930,0.36,49.99,多头,234.552,237.102,🎯 EMA20多头 + SAR多头 + T3形态突破,现价234.82略低于50日均线237.10，RSI 49.99处中性区间，无超买迹象；EMA20与SAR多头叠加T3突破，信号偏多但受均线压制，可靠性中等。
表格,SPCX,Space Exploration Technologies ,148.171,-0.13,48113690,0.54,54.37,空头,147.52,135.575,,
表格,ORCL,Oracle Corporation,138.836,-3.96,42951566,1.35,41.99,空头,147.249,141.973,,
表格,NOK,Nokia Corporation Sponsored,10.425,-1.93,42139567,0.49,50.15,多头,10.427,10.056,,
表格,GRAB,Grab Holdings Limited,3.13,-2.19,42054158,0.62,45.66,多头,3.159,3.405,,
