类型,代码,名称,价格,涨跌%,成交量,相对量,RSI,SAR,EMA20,50日均线,信号,AI点评
信号,0168,BMGREEN,1.67,3.73,1334100,1.77,52.38,多头,1.636,1.73,🎯 EMA20多头 + SAR多头 + T3形态突破,现价1.67低于50日均线1.73，均线尚未转多；RSI 52.38处中性区间，无超买。EMA20与SAR多头及T3突破信号偏积极，但受制于50日线压制，可靠性中等。
信号,5073,NAIM,0.88,4.14,1815300,1.97,71.49,多头,0.799,0.788,🎯 EMA20多头 + SAR多头 + T3形态突破,现价0.88高于50日均线0.788，EMA20与SAR均呈多头，T3形态突破有效；但RSI达71.49，已进入超买区，信号可靠性偏中性。
表格,0138,ZETRIX,0.19,-7.32,226956400,0.39,21.64,空头,0.306,0.523,,
表格,4723,JAKS,0.17,0.0,58238400,1.35,75.93,多头,0.137,0.111,,
表格,6963,VS,0.255,10.87,50564700,3.06,67.55,多头,0.231,0.232,,
表格,5243,VELESTO,0.23,-4.17,47053600,2.57,37.55,空头,0.244,0.251,,
表格,5099,CAPITALA,0.25,-7.41,40382800,1.58,33.25,多头,0.286,0.336,,
表格,5238,AAGB,0.55,-4.35,37717900,0.94,27.65,空头,0.671,0.887,,
表格,5184,CYPARK,0.78,16.42,37258500,6.69,69.15,多头,0.68,0.678,,
表格,5555,SUNMED,2.14,-1.38,36177400,2.78,52.09,空头,2.143,2.052,,
表格,0193,KINERGY,0.42,3.7,28799300,2.88,65.15,多头,0.406,0.408,,
表格,0034,MMAG,0.02,-20.0,28559000,36.0,43.55,空头,0.024,0.027,,
表格,9377,FSBM,0.115,9.52,27371500,1.11,37.19,空头,0.143,0.166,,
表格,4197,SIME,2.51,1.62,26015800,1.67,65.55,多头,2.426,2.249,,
表格,3174,L&G,0.215,4.88,23997200,1.31,80.22,多头,0.194,0.181,,
表格,7192,GIIB,0.585,1.74,21344800,0.97,75.1,多头,0.532,0.487,,
表格,7113,TOPGLOV,0.77,0.65,21294400,0.52,61.79,多头,0.73,0.677,,
表格,7215,NIHSIN,0.395,-2.47,20918500,0.43,85.46,多头,0.295,0.165,,
表格,5398,GAMUDA,4.78,-1.24,19966400,1.19,59.23,空头,4.698,4.468,,
表格,8052,CGB,0.865,-0.57,17272600,1.02,45.39,空头,0.868,0.871,,
表格,0083,NOTION,0.665,3.1,17012000,1.93,62.92,多头,0.625,0.565,,
表格,0270,NATGATE,1.83,-1.61,16179200,0.45,65.5,多头,1.704,1.476,,
表格,0181,AEMULUS,0.435,8.75,15352200,2.7,62.0,多头,0.396,0.396,,
表格,5151,HEXTAR,0.77,-0.65,15182200,1.26,47.86,空头,0.774,0.774,,
表格,4324,HENGYUAN,4.5,4.65,15156000,1.38,85.9,多头,3.209,2.168,,
表格,5161,JCY,0.545,0.0,15069800,1.05,59.62,空头,0.516,0.466,,
表格,4456,DNEX,0.47,1.08,14554100,0.62,51.47,多头,0.465,0.469,,
表格,8664,SPSETIA,0.76,-1.94,13579500,4.48,31.7,空头,0.807,0.859,,
表格,3336,IJM,2.92,2.1,13469400,1.14,64.04,多头,2.816,2.675,,
表格,7121,XL,0.815,1.24,13429500,1.13,52.62,多头,0.811,0.81,,
表格,5078,M&G,0.305,0.0,13343100,0.73,58.12,空头,0.301,0.289,,
